Neat,Labelled,XR06*,XR31*,XR83*,H#5324*,XR10*,XR32*,XR19*,XR30*,XR36*,XR51*,H#3706*,XR41*,XR61*,XR15*,XR18*,XR25*,XR28*
1,blank,2.1555,2.597,2.262,2.2325,2.534,2.451,2.479,2.247,2.139,2.562,2.43,2.2512,2.707,2.531,2.516,2.1186,2.166
2,H#1104,1.8735,2.5,2.21,1.64,2.5,2.5,2.5,2.117,1.776,2.031,2.454,2.082,2.454,2.222,1.86,1.6038,2.049
3,H#1111,1.839,2.534,2.2,1.765,2.5,2.5,2.483,2.307,1.85,2.124,2.4,2.2188,2.7,2.322,2.098,1.8656,2.631
4,H#1120,1.488,2.5,2.163,1.175,2.5,2.5,2.5,2.216,1.732,2.2,2.4,1.8696,2.751,2.529,2.142,1.7732,1.956
5,H#1121,1.7385,2.5,2.22,1.7075,2.264,2.261,2.457,2.11,1.792,2.248,2.188,2.0904,2.217,2.246,1.77,1.837,2.844
6,XR06,0.714,2.5,2.2,1.855,2.5,2.5,2.351,2.258,1.9,2.5,2.4,2.1972,2.7,2.404,2.388,1.0164,2.559
7,XR25,0.4815,2.5,2.181,1.345,2.66,2.412,2.307,2.233,1.522,2.305,2.355,2.1672,2.7,2.375,2.5,0.4906,2.925
8,XR02,1.563,1.795,2.144,0.58,2.5,1.527,2.385,1.574,1.288,1.917,2.325,1.2756,2.421,2.266,1.614,1.353,1.962
9,H#4319,1.2735,1.894,2.2,0.855,2.5,2.253,2.364,2.288,1.827,2.304,2.166,2.2,2.207,2.342,1.166,1.3266,1.554
10,H#4314,1.353,1.267,1.57,0.5675,2.5,2.286,2.5,2.334,1.913,2.24,2.141,1.7832,2.401,2.199,1.984,1.705,1.551
11,XR31,1.449,0.789,1.392,0.4225,2.5,2.259,2.479,2.076,1.844,2.346,2.4,2.1792,2.7,2.452,1.218,1.397,1.11
12,H#5324,1.314,0.766,0.98,0.5725,2.313,2.365,2.207,2.2,1.603,2.432,2.244,2.0688,2.43,2.311,2.5,1.1924,1.401
13,H#4316,1.2045,0.272,0.557,0.41,2.5,2.384,2.479,2.2,1.85,2.386,2.328,2.2,2.406,2.406,1.284,1.3024,1.548
14,XR83,0.9885,0.146,0.136,0.31,2.17,2.362,2.117,2.209,1.676,2.48,2.4,2.0064,2.538,2.003,1.004,0.9152,1.101
15,H#5313,1.146,0.364,0.328,0.525,2.5,2.501,2.365,2.245,1.652,2.362,1.997,2.2464,2.559,2.475,1.98,1.1946,2.067
16,XR12,1.47,1.823,1.854,0.4575,0.272,0.302,0.131,1.244,1.457,2.021,2.4,2.076,2.7,2.363,1.128,1.2848,1.785
17,XR14,1.194,2.5,2.074,0.88,0.325,0.209,0.18,0.108,0.782,1.428,2.4,2.106,2.7,0.972,1.67,1.3838,1.437
18,XR17,1.356,2.349,2.167,0.975,0.779,0.336,0.175,0.205,0.937,1.665,2.4,2.226,2.454,1.399,1.744,1.6016,1.794
19,H#1115,1.4865,2.5,2.2,2.2,0.778,0.304,0.225,0.305,1.101,1.946,1.829,1.5612,2.7,1.244,2.116,1.3684,1.476
20,XR19,1.4115,2.5,1.94,1.07,0.25,0.301,0.138,0.166,0.858,1.636,2.418,2.088,2.7,1.118,1.068,1.0516,0.882
21,XR10,0.9495,1.408,1.539,0.5975,0.202,0.09,0.284,0.071,0.229,0.383,2.32,2.1792,2.414,2.193,1.432,1.2056,1.383
22,XR30,1.2705,2.405,2.166,1.195,0.23,0.158,0.221,0.089,0.198,0.319,2.382,2.1528,2.7,2.363,1.002,1.155,2.111
23,H#1107,1.509,2.5,2.2,1.44,0.232,0.154,0.31,0.08,0.174,0.222,2.466,2.2,2.424,2.385,1.14,1.1968,2.111
24,XR32,1.209,2.313,2.068,1.02,0.368,0.15,0.177,0.107,0.233,0.316,2.259,2.1708,2.387,2.277,1.706,1.2716,1.026
25,XR36,1.2585,2.368,2.2,1.185,0.248,0.12,1.057,0.067,0.128,0.197,2.4,2.244,2.7,2.292,1.038,1.1616,0.759
26,XR37,1.248,2.456,2.131,1.115,0.222,0.11,1.074,0.057,0.059,0.072,2.4,2.2,2.7,2.222,0.932,1.0538,0.687
27,XR51,1.1445,2.075,2.021,1.005,0.175,0.247,0.949,0.055,0.078,0.096,2.304,2.2,2.7,2.274,2.406,1.507,0.909
28,H#1106,1.38,2.233,2.193,1.905,2.206,2.667,2.156,2.2,1.54,2.219,0.205,0.2004,0.834,1.993,2.454,1.4916,2.111
29,XR41,1.407,2.444,2.056,1.8175,2.445,2.347,2.367,2.134,1.646,2.381,0.409,0.138,0.408,2.224,2.042,1.7666,2.111
30,H#5308,1.1205,2.182,2.047,1.6225,2.5,2.354,2.125,2.048,1.575,2.205,0.189,0.2364,0.793,0.607,1.804,1.3552,2.106
31,XR04,1.4145,2.5,2.165,1.8675,2.33,2.094,2.295,2.153,1.594,2.293,0.243,0.2508,0.922,2.139,1.356,1.5554,1.332
32,XR61,1.473,2.447,1.988,0.815,2.426,2.146,2.5,2.116,1.624,2.347,0.787,0.3252,0.96,2.424,2.5,1.4014,1.866
33,H#4312,1.407,2.5,2.547,1.655,1.909,1.091,1.459,0.81,1.033,1.328,2.329,2.2,2.7,2.385,1.666,1.5202,1.191
34,XR15,1.497,2.248,2.086,1.0175,2.5,2.229,1.498,2.191,1.632,2.31,2.203,2.154,2.364,1.809,1.316,1.496,1.029
35,XR18,1.0245,2.239,2.2,1.475,2.366,2.5,2.364,2.2,1.659,2.269,2.342,2.1924,2.383,2.253,0.73,1.144,1.023
36,XR28,1.5795,2.5,2.2,1.6175,2.5,2.5,2.5,2.176,1.765,2.307,2.29,2.1888,2.559,2.114,2.422,1.7974,1.122
37,XR05,1.2195,0.697,1.002,0.5075,2.241,2.179,2.194,2.223,1.48,2.323,2.022,1.8168,2.342,0.952,1.1,1.1088,1.275
38,XR52,1.4445,2.5,2.065,1.945,2.5,2.313,2.5,2.2,1.561,2.071,2.4,2.2,2.7,2.345,2.484,1.8766,2.111
39,XR65,1.353,2.452,2.2,1.7425,2.018,1.314,2.202,1.552,1.137,2.033,2.4,2.2092,2.7,2.29,2.5,1.4454,1.284
40,H#1122,1.5675,2.5,2.215,1.86,2.5,2.267,2.468,2.039,1.547,2.163,2.4,2.2,2.7,2.281,1.872,1.727,2.111
41,H#1136,1.7205,2.5,2.16,2.09,2.5,2.447,2.494,2.2,1.637,2.5,2.346,2.2,2.667,2.331,1.84,1.936,1.611
42,H#1117,1.638,2.5,2.021,1.495,2.5,2.095,2.286,2.2,1.641,2.383,2.062,1.9596,2.363,2.329,1.398,1.8194,2.111
43,XR44,1.6065,2.5,1.971,1.9125,2.249,2.5,2.168,2.281,1.603,2.205,2.162,2.2,2.347,2.246,1.384,2.111,2.111
44,XR07,1.218,2.075,2.114,1.095,2.5,2.132,2.261,2.276,1.578,2.5,2.4,2.2,2.193,2.289,1.362,1.6038,2.046
45,XR26,1.4205,2.407,2.116,1.6675,2.5,2.5,2.5,2.2,1.751,2.5,2.4,2.2,2.7,2.137,1.246,1.7292,1.713
