,NP1501,NP1502,NP1503,NP1507,NP1508,NP1510,NP1512,NP1514,NP1516,NP1517,NP1518,NP1520,NP1521,NP1522,NP1524,NP1525,NP1526,NP1527,NP1528,NP3701,NP3706,NP3708,NP3715,X32,X41,X155,X190,X200,X201,X202,X211,X212,X213,X215,X217,X218,X220,X221,X223,X224,X233,X271,X275
NP1501,32,14,16,23,16,16,23,31,29,27,21,15,27,15,17,15,19,21,10,15,18,20,13,17,16,15,18,16,16,15,26,17,16,27,16,22,26,16,14,17,16,17,24
NP1502,,32,29,16,29,29,19,15,15,16,10,30,17,29,6,26,22,14,18,25,10,25,8,6,7,6,27,27,26,8,14,6,7,17,7,10,13,27,7,6,6,25,13
NP1503,,,32,16,32,32,20,17,15,14,8,29,16,28,8,29,21,12,17,22,8,28,10,8,7,4,26,24,23,6,16,8,5,15,5,8,13,28,7,8,6,26,13
NP1507,,,,32,16,16,20,24,24,24,16,15,20,15,9,15,19,17,9,17,13,18,13,9,8,11,18,17,18,9,17,9,10,20,12,15,17,14,8,9,7,15,21
NP1508,,,,,32,32,20,17,15,14,8,29,16,28,8,29,21,12,17,22,8,28,10,8,7,4,26,24,23,6,16,8,5,15,5,8,13,28,7,8,6,26,13
NP1510,,,,,,32,20,17,15,14,8,29,16,28,8,29,21,12,17,22,8,28,10,8,7,4,26,24,23,6,16,8,5,15,5,8,13,28,7,8,6,26,13
NP1512,,,,,,,32,24,22,21,15,17,23,18,17,21,17,20,10,16,16,18,13,17,16,12,15,15,16,15,25,17,14,24,13,17,20,20,17,17,15,16,21
NP1514,,,,,,,,32,28,26,20,14,26,14,17,16,18,21,9,14,17,19,13,17,16,15,17,15,15,15,25,17,16,26,16,21,25,15,14,17,15,16,23
NP1516,,,,,,,,,32,30,22,16,25,16,14,14,20,22,11,16,19,19,14,14,15,16,19,17,17,14,23,14,15,26,17,21,25,17,15,14,15,18,27
NP1517,,,,,,,,,,32,22,17,26,17,13,13,18,22,9,16,19,17,13,13,14,16,19,17,17,15,22,13,16,26,17,21,23,16,14,13,14,16,25
NP1518,,,,,,,,,,,32,11,20,10,16,8,13,21,12,13,22,10,16,16,18,22,12,14,14,17,17,17,20,21,22,23,21,9,18,17,19,12,21
NP1520,,,,,,,,,,,,32,18,31,6,26,22,14,18,25,11,27,8,6,7,6,29,27,26,8,15,6,7,18,7,11,14,29,7,6,7,27,14
NP1521,,,,,,,,,,,,,32,19,17,15,15,23,9,16,20,15,13,17,17,17,18,17,17,18,26,17,19,28,18,23,26,17,15,17,17,15,23
NP1522,,,,,,,,,,,,,,32,7,27,22,15,17,24,12,27,7,7,8,7,29,26,25,9,16,7,8,19,8,12,15,30,8,7,8,26,15
NP1524,,,,,,,,,,,,,,,32,10,4,15,12,4,13,7,24,31,29,23,4,3,3,22,19,31,27,18,24,17,15,9,28,31,26,6,14
NP1525,,,,,,,,,,,,,,,,32,20,11,15,19,9,27,8,10,9,4,24,21,20,8,17,10,7,16,5,11,12,29,9,10,8,25,14
NP1526,,,,,,,,,,,,,,,,,32,12,16,27,9,25,4,4,5,7,25,27,28,5,14,4,5,16,6,11,17,23,5,4,7,24,18
NP1527,,,,,,,,,,,,,,,,,,32,9,15,26,12,13,15,16,19,14,14,14,20,24,15,16,25,19,22,24,13,16,15,15,13,23
NP1528,,,,,,,,,,,,,,,,,,,32,19,9,17,15,13,14,13,17,19,18,14,8,12,12,11,14,11,10,17,14,12,15,18,10
NP3701,,,,,,,,,,,,,,,,,,,,32,12,22,6,4,5,8,24,28,29,7,14,4,5,18,7,11,16,22,6,4,7,22,16
NP3706,,,,,,,,,,,,,,,,,,,,,32,9,11,13,14,17,11,11,11,20,20,13,14,22,17,25,21,10,14,13,15,10,20
NP3708,,,,,,,,,,,,,,,,,,,,,,32,7,7,6,4,28,24,23,5,16,7,4,17,5,10,14,28,6,7,6,27,15
NP3715,,,,,,,,,,,,,,,,,,,,,,,32,25,25,21,5,5,5,17,13,25,23,12,24,12,11,7,24,25,20,6,14
X32,,,,,,,,,,,,,,,,,,,,,,,,32,30,24,4,3,3,23,19,30,28,18,25,18,15,9,27,30,27,6,14
X41,,,,,,,,,,,,,,,,,,,,,,,,,32,24,5,4,4,24,18,30,30,19,27,19,16,10,29,30,27,7,15
X155,,,,,,,,,,,,,,,,,,,,,,,,,,32,8,9,9,21,13,22,26,17,29,19,18,5,23,22,25,6,17
X190,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28,27,6,13,4,7,18,9,13,16,27,5,4,5,28,16
X200,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,6,13,3,6,17,8,12,17,24,4,3,6,26,17
X201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,13,3,6,17,8,12,17,23,4,3,6,25,17
X202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20,22,24,20,21,21,16,9,21,22,24,6,15
X211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,19,16,27,13,20,24,18,16,19,19,14,23
X212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28,18,25,17,15,9,29,32,25,6,14
X213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,19,29,21,16,8,27,28,25,7,15
X215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,18,25,26,19,17,18,19,17,25
X217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20,17,6,26,25,22,7,16
X218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,23,12,16,17,19,14,22
X220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,15,14,15,18,17,27
X221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,9,10,28,17
X223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,24,7,15
X224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,25,6,14
X233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,17
X271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,19
X275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
