label,NP1501*,NP1502*,NP1503*,NP1508*,NP1510*,NP1514*,NP1516*,NP1517*,NP1518*,NP1520*,NP1521*,NP1522*,NP1524*,NP1525*,NP1527*,NP3706*,NP3715*,X32*,X41*,X155*,X200*,X201*,X202*,X211*,X213*,X215*,X217*,X220*,X221*,X223*,X233*,X271*
NP1501,2,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
NP1502,1,2,3,3,3,2,1,2,1,3,2,3,1,3,1,1,1,1,1,1,3,3,1,1,1,2,1,1,3,1,1,2
NP1503,1,2,3,3,3,2,1,2,1,3,1,3,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,3
NP1507,2,1,1,2,2,3,2,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1
NP1508,1,2,3,3,3,2,1,2,1,3,1,3,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,3
NP1510,1,2,3,3,3,2,1,2,1,3,1,3,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,3
NP1512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,2
NP1514,2,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NP1516,2,1,1,1,1,3,2,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
NP1517,2,1,1,1,1,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1
NP1518,2,1,1,1,1,3,2,2,3,1,2,1,2,1,2,1,3,1,3,1,2,1,2,1,1,2,3,1,1,1,2,1
NP1520,1,2,3,3,3,2,1,2,1,3,2,3,1,3,1,1,1,1,1,1,3,3,2,1,1,2,1,1,3,1,1,3
NP1521,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
NP1522,1,2,3,3,3,2,1,1,1,3,2,3,1,3,1,1,1,1,1,1,3,3,2,1,1,2,1,1,3,1,1,3
NP1524,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,3,3,3,1,1,3,1,3,1,3,1,1,3,3,1
NP1525,1,2,3,3,3,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,2,3
NP1526,2,2,2,3,3,3,2,3,1,2,2,3,1,3,2,1,1,1,1,1,3,3,2,1,1,1,1,1,2,1,1,2
NP1527,1,1,1,1,1,2,2,1,1,1,2,1,2,1,3,1,1,1,2,1,2,1,3,3,1,2,1,1,1,1,1,1
NP1528,1,1,3,3,3,2,2,2,1,2,2,3,3,3,1,1,3,2,3,2,3,2,2,1,2,1,3,1,3,1,3,2
NP3701,1,2,2,3,3,2,2,2,1,2,2,3,1,3,2,1,1,1,1,1,3,2,2,1,1,2,1,1,2,1,1,2
NP3706,1,1,1,1,1,2,2,1,1,1,2,1,2,1,3,2,2,1,2,1,2,1,2,2,1,2,2,1,1,1,2,1
NP3708,1,2,3,3,3,3,2,3,1,3,1,3,1,3,1,1,1,1,1,1,3,3,2,1,1,1,1,1,3,1,1,3
NP3715,1,1,1,2,1,2,1,2,3,1,1,2,3,2,1,1,3,2,3,3,2,1,3,1,3,1,3,1,1,3,3,1
X32,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,2,3,3,1,1,3,1,3,1,3,1,1,3,3,1
X41,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,3,2,3,3,1,1,3,1,3,1,3,1,1,3,3,1
X155,2,1,1,1,1,2,2,1,2,1,2,1,3,1,2,1,3,2,3,3,2,1,3,1,3,2,3,1,1,2,3,1
X190,2,2,3,3,3,2,2,3,1,3,2,3,1,3,1,1,1,1,1,1,3,3,2,1,1,2,1,1,3,1,1,3
X200,2,2,3,3,3,2,2,2,1,2,2,3,1,3,2,1,1,1,1,1,3,3,2,1,1,2,1,1,3,1,1,2
X201,2,2,3,3,3,2,2,2,1,2,2,3,1,3,2,1,1,1,1,1,3,3,2,1,1,2,1,1,2,1,1,2
X202,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,3,2,3,2,1,1,3,2,2,2,2,1,1,1,3,1
X211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1
X212,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,3,3,3,1,1,3,1,3,1,3,1,1,3,3,1
X213,2,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,3,2,3,3,1,1,3,1,3,2,3,1,1,3,3,1
X215,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
X217,2,1,1,1,1,2,2,1,3,1,2,1,3,1,1,1,3,2,3,3,2,1,3,1,3,2,3,1,1,3,3,1
X218,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1
X220,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1
X221,1,2,3,3,3,1,1,1,1,3,2,3,1,3,1,1,1,1,1,1,3,3,2,1,1,1,1,1,3,1,1,3
X223,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,3,3,3,3,2,2,3,1,3,1,3,1,1,3,3,1
X224,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,3,3,3,1,1,3,1,3,1,3,1,1,3,3,1
X233,1,1,1,1,1,1,1,1,2,1,2,1,3,1,2,1,3,2,3,3,1,1,2,1,2,1,3,1,1,2,3,1
X271,2,2,3,3,3,1,2,2,1,3,2,3,1,3,1,1,1,1,2,1,3,3,2,1,1,1,1,1,3,1,1,3
X275,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1
